Part Name,Library Ref,Footprint Ref,CreatedBy,HelpURL,Manufacturer 1,Manufacturer 1 Part Number,Vendor 1,Vendor 1 Part Number,Description,Value,Comment
"TRIAC,800V,12A,TO-220","TRIAC,800V,12A,TO-220",STMICRO_TO-220AB_HV,Judd Foster,https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/3e/e6/2c/20/86/82/44/0e/DM00082940/files/DM00082940.pdf/jcr:content/translations/en.DM00082940.pdf,STMicroelectronics,T1235T-8T,Digikey,497-13995-5-ND,TRIAC Alternistor - Snubberless 800 V 12 A Through Hole TO-220,,=Manufacturer 1 Part Number
"OPTO,Triac Output,5kV,Thru","OPTO,Triac Output,5kV,Thru",LITEON_MOC306X,Judd Foster,https://optoelectronics.liteon.com/upload/download/DS70-2001-026/MOC306X%20series%20201606.pdf,Lite-On Inc.,MOC3063,Digikey,160-1722-5-ND,Optoisolator Triac Output 5000Vrms 1 Channel 6-DIP,,=Manufacturer 1 Part Number
"CHOKE,CM,2LN,1mH,10A,Thru","CHOKE,CM,2LN,1mH,10A,Thru",WURTH_744824101,Judd Foster,https://www.we-online.com/components/products/datasheet/744824101.pdf,Würth Elektronik,744824101,Digikey,732-1449-ND,1 mH @ 10 kHz 2 Line Common Mode Choke Through Hole 10A DCR 7mOhm,,=Manufacturer 1 Part Number
"RES,Thermistor,NTC,10R,9A","RES,Thermistor,NTC,10R,9A",AMETHERM_SL22 10009,Judd Foster,https://www.ametherm.com/datasheetspdf/SL2210009.pdf,Ametherm,SL22 10009,Digikey,570-1035-ND,"Inrush Current Limiter 10 Ohms ±20% 9 A 0.866"" (22.00mm)",,=Manufacturer 1 Part Number
"RES,1k2,5%,1W,Pulse Withstand,Axial,Thru","RES,1k2,5%,1W,Pulse Withstand,Axial,Thru",TE_ROX1S,Judd Foster,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773271&DocType=DS&DocLang=English,TE Connectivity Passive Product,ROX1SJ1K2,Digikey,A105923CT-ND,"1.2 kOhms ±5% 1W Through Hole Resistor Axial Flame Proof, Pulse Withstanding, Safety Metal Oxide Film",1k2,=Value
"HEATSINK,TO-220,CUI_HSE-B20254-040H","HEATSINK,TO-220,CUI_HSE-B20254-040H",CUI_HSE-B20254-040H,Judd Foster,https://www.cuidevices.com/product/resource/hse-bx-040h.pdf,CUI Devices,HSE-B20254-040H,Digikey,102-4240-ND,"Heat Sink TO-220 Aluminum Alloy 5.7W @ 75°C Board Level, Vertical",,=Manufacturer 1 Part Number
"Term,Header,1x8 Pin,2.54mm,Right,Thru","Term,Header,1x8 Pin,2.54mm,Right,Thru",ADAMTECH_PH1RB-08-UA,Judd Foster,https://app.adam-tech.com/products/download/data_sheet/201281/ph1rb-xx-ua-data-sheet.pdf,Adam Tech,PH1RB-08-UA,Digikey,2057-PH1RB-08-UA-ND,"Connector Header Through Hole, Right Angle 8 position 0.100"" (2.54mm)",,=Manufacturer 1 Part Number
"Conn,Pwr Ent,Rcpt,IEC320,Male,PCB Mnt,Right","Conn,Pwr Ent,Rcpt,IEC320,Male,PCB Mnt,Right",QUALTEK_703W-00_54,Judd Foster,https://www.qualtekusa.com/images/AC_Receptacles/pdfs/703w0054.pdf,Qualtek,703W-00/54,Digikey,Q220-ND,"Power Entry Connector Receptacle, Male Blades IEC 320-C14 Panel Mount, Flange; Through Hole, Right Angle",,=Manufacturer 1 Part Number
"RELAY,SPST,16A,12V","RELAY,SPST,16A,12V",PANASONIC_ALEXPXXX,Judd Foster,https://api.pim.na.industrial.panasonic.com/file_stream/main/fileversion/43630,Panasonic,ALE1PB12,,,,,=Manufacturer 1 Part Number
"RES,100k,1%,0.063W,0402","RES,100k,1%,0.063W,0402",RESC1005X04N,Judd Foster,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,RC0402FR-07100KL,Digikey,311-100KLRCT-ND,"100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",100k,=Value
"RES,220k,1%,0.063W,0402","RES,220k,1%,0.063W,0402",RESC1005X04N,Judd Foster,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,RC0402FR-07220KL,Digikey,311-220KLRCT-ND,"220 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",220k,=Value
IS2083BM-232,IS2083BM-232,MICROCHIP_PKG_3MX(C04-00463A),Judd Foster,https://ww1.microchip.com/downloads/en/DeviceDoc/IS2083-Bluetooth-Stereo-Audio-SoC-Data-Sheet-DS70005403D.pdf,Microchip Technology,IS2083BM-232,Digikey,150-IS2083BM-232CT-ND,Bluetooth Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included Surface Mount,,=Manufacturer 1 Part Number
"XTAL,16MHz,10ppm,9pF,SMD","XTAL,16MHz,10ppm,9pF,SMD",EPSON_TSX-3225,Judd Foster,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,EPSON,TSX-3225 16.0000MF09Z-AC0,Digikey,SER4069CT-ND,"16 MHz ±10ppm Crystal 9pF 60 Ohms 4-SMD, No Lead",16MHz,"16MHz,10ppm,9pF"
"CAP,Cer,3pF,50VDC,C0G,0402","CAP,Cer,3pF,50VDC,C0G,0402",CAPC1005X06N,Judd Foster,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,TDK Corporation,C1005C0G1H030B050BA,Digikey,445-4869-1-ND,"3 pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",3pF,"3pF,50V,C0G,0402"
"CAP,Cer,4.7pF,50VDC,C0G,0402","CAP,Cer,4.7pF,50VDC,C0G,0402",CAPC1005X06N,Judd Foster,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H4R7BA01-01.pdf,Murata Electronics,GRM1555C1H4R7BA01D,Digikey,490-6244-1-ND,"4.7 pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",4.7pF,"4.7pF,50V,C0G,0402"
"CAP,Cer,2pF,50VDC,C0G,0402","CAP,Cer,2pF,50VDC,C0G,0402",CAPC1005X06N,Judd Foster,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,YAGEO,CC0402BRNPO9BN2R0,Digikey,311-1617-1-ND,"2 pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",2pF,"2pF,50V,C0G,0402"
